INC;Código;Descrição;Quantidade;Valor Total LÌquido;% Lucratividade;Lucro;
T;21749;CACHACA MINEIRINHA PRATA 1L ;5;89,95;39,23;35,28;
F;111878;REG DE GAS ALIANCA 0,80M C/MANG ;5;249,95;39,15;97,84;
T;24175;JG DOMINO NAIPESPRO DOUBLE SIX 10MM ;5;149,95;38,95;58,4;
T;10901;VELA MAGIC IBRINK AZUL N 4 ;5;24,95;38,85;9,69;
F;23179;TEMPERO EDU GUEDES DONA ZEZINHA 25G ;5;12,25;38,78;4,75;
F;21779;COND PANTENE COLAGENO 150ML ;5;84,95;38,17;32,43;
T;123246;CR TRAT SKALA EXP BABOSA 2EM1 1KG ;5;74,95;37,93;28,43;
T;18048;FARINHA UARINI CABOCA AZEITE 500G ;5;79,95;37,46;29,95;
F;13882;BANHEIRA INFLAVEL HOMEM-ARANHA 200L ;5;699,95;37,45;262,13;
T;24608;BALAO PIC PIC BRANCO RED C 50UN ;5;84,95;37,39;31,76;
F;114638;SAB LIQ KIZZ CARE PESS 500ML ;5;69,95;37,31;26,1;
F;19466;PRESERV PRUDENCE MELANCIA 3UN ;5;31,95;37,2;11,89;
F;114050;REG DE GAS ALIANCA 505/01 S/MANG ;5;153,95;37,2;57,27;
T;24354;POTE PLASUTIL ROSCA 3 2LT ;5;84,95;37,02;31,44;
T;23716;PIRULITO LOVE CORACAO MOR 120G ;5;17,45;36,96;6,45;
T;17073;MASC H FLY OL COCO REAL 250GR ;5;79,95;36,73;29,37;
T;12649;PRATO NADIR P/SOBREMESA 19,5CM PETALAS ;5;41,45;36,56;15,16;
T;11804;SAB LIQ INT KIZZ CARE 120ML ;5;53,95;36,29;19,58;
F;100926;CORANTE ARCOLOR AMA 10ML ;5;14,95;36,12;5,4;
F;120916;ESM IMPALA PATINS 7,5ML ;5;19,95;36,09;7,2;
T;105996;PRESERV PRUDENCE MOR 3UN ;5;32,45;36,06;11,7;
T;22414;SALEIRO TP PANAMBY PRETO ;5;19,95;35,99;7,18;
T;119886;TINT COR&TON LOUR CLAR 8.0 ;5;53,05;35,95;19,07;
F;103054;ESM IMPALA MARIA FLOR 7,5ML ;5;19,95;35,89;7,16;
T;24127;TOALHA LOVELLE AMARELO 30X45CM;5;24,95;35,87;8,95;
T;24131;TOALHA LOVELLE AZUL 30X45CM;5;24,95;35,87;8,95;
F;24132;TOALHA LOVELLE VERDE 30X45CM;5;24,95;35,87;8,95;
F;18327;SAND IPANEMA CLASS MASC 25956 PTO/VDE ;5;79,95;35,85;28,66;
F;23197;AMACIANTE DE CARNE DONA ZEZINHA 50G ;5;12,45;35,74;4,45;
F;23967;OLEO ELIXIR BEAUTY NUTRIT RICINO 40ML;5;109,95;35,56;39,1;
F;12412;CR DENTAL COLGATE TANDY TUT MOR;5;48,95;35,44;17,35;
F;123690;PO DESC YAMA PRETO DO LEITE 50G ;5;39,95;35,42;14,15;
F;121025;SAPONACEO PO SAPOLIO CLASSICO 300G ;5;32,95;35,34;11,65;
F;23881;AMPOLA H FLY G MILAG ANTIQUEDA 10ML ;5;14,95;35,2;5,26;
T;16660;CACAU EM PO S/ACUCAR MT 100G ;5;72,95;35,07;25,58;
F;10160;LAMP Q LUZ LED 9W EMERGENCIA ;5;138,45;35,03;48,51;
F;107824;LOCAO HID NIVEA SOFT MILK 200ML ;5;102,95;34,88;35,91;
F;102883;SAB INTIMO INTIMU DERMS 150ML ;5;54,95;34,87;19,16;
T;18958;ESC DENT COLG EXTRA CLEAN MED C/4UN ;5;94,95;34,86;33,1;
F;25058;CHESTERFIELD TERRAS BRASILEIRAS ORIGINAL BOX ;5;34,95;34,77;12,15;
F;23801;PENTE MB PIOLHO DENTE ACO INOX ;5;74,95;34,76;26,05;
F;23178;CUMINHO EM GRAO DONA ZEZINHA 15G ;5;12,25;34,69;4,25;
F;11205;CAIXA DE ISOPOR ICEBOX 24LT ;5;263,95;34,61;91,34;
T;21541;OLEO CAP PLENS JABORANDI 80ML ;5;32,45;34,51;11,2;
T;114126;CARGA P/GRAF PILOT 0.7 UN ;5;19,95;34,46;6,87;
F;119235;SAND IPANEMA CLASS INF PTO 31/32 ;5;77,95;34,37;26,79;
T;24301;COPO MEDIDOR INJETEMP 400ML ;5;24,95;34,37;8,58;
T;24233;SALG ARROZ BELIVE CHURRASCO 35G ;5;24,95;34,37;8,58;
F;120382;TOALHAS UMED BABY POPPY ALOE VERA 100UN ;5;84,95;34,31;29,15;
T;17483;PICOLE VACA LAMB LIMAO 60G ;5;19,95;34,27;6,84;
F;103301;CARGA GILLETTE OLIMPIADA 2UN ;5;134,95;34,23;46,2;
T;19202;DR GIOVANNA BABY CLAS RSA 50ML ;5;59,95;34,18;20,49;
T;10062;LAVA LOUCA PASTA URCA TRADIC 500G ;5;29,95;34,15;10,23;
T;22294;PROT SOLAR NIVEA FPS30 SUN 200ML ;5;304,95;34,14;104,11;
T;10917;VELA MAGIC IBRINK ROSA N 0 ;5;23,95;34,1;8,17;
T;24227;CHOC AO LEITE ZERO FLORMEL 20G ;5;19,95;34,08;6,8;
F;105406;SAND IPANEMA CLASS INF AZL 23/24 ;5;79,95;34,07;27,24;
T;21694;RACAO BRAVO CORDEIRO E ARROZ 1KG ;5;119,95;34,06;40,85;
F;12882;COND DOVE RITUAL COCO REPARACAO 200ML ;5;82,95;34,01;28,21;
F;21154;ATIVADOR CACHOS SALON LINE SOS 300ML ;5;100,95;33,98;34,3;
F;25545;CACHACA 61 EMI PET 970ML ;5;74,95;33,97;25,46;
F;107882;OLEO CAP MURIEL CERAM 80ML ;5;39,85;33,73;13,44;
F;102155;TALCO BABY POPPY 100G ;5;61,55;33,71;20,75;
F;23331;PEDRA POMES RASKALO C/LIXA ;5;22,45;33,63;7,55;
F;23752;DESFIADOR BEM BOLADO POLICARBONATO 4 CM ;5;64,95;33,6;21,83;
T;118008;INSETICIDA AER DETEFON MORTEIN PRO 400ML ;5;63,95;33,46;21,4;
T;23715;BALA SENSA CANDY SHOP CAFE 108G ;5;17,45;33,24;5,8;
F;106998;KIT SHA+COND NIELY GOLD LISO PROL ;5;79,95;33,23;26,57;
F;23834;ESM IMP VERNIZ INTENSIF VERM ;5;24,95;33,23;8,29;
F;101029;BISC PARATI ROSQ BRIG 300G ;5;34,95;33,23;11,61;
F;101028;BISC PARATI ROSQ CHOC RAD 335G ;5;34,95;33,23;11,61;
T;24145;PANO DE COPA EXTRA ARTESA ENG TEXT 72X45CM ;5;29,95;33,22;9,95;
F;23634;COND ELSEVE CACHOS DOS SONHOS 200ML ;5;74,95;33,22;24,9;
F;14093;CR PENT ELSEVE ARGININA RESIST 250ML ;5;63,55;33,14;21,06;
F;16734;PIMENTAO C/ ERVAS FINAS QB 290G ;5;94,45;33,03;31,2;
F;15785;CADERNO BROCHURAO CAPA DURA 96FLS VERMELHO ;5;34,95;32,9;11,5;
T;23378;MASC KERABR MATIZ PROF H PLATINUM 40G ;5;24,95;32,87;8,2;
T;10326;CAMPI-SAL CAMPILAR 1KG ;5;44,95;32,85;14,77;
F;105474;SAND IPANEMA ANAT SURF AZL 33/34 ;5;84,95;32,83;27,89;
F;24991;LIMP CASA&PERFUME BELA FLORE 500ML ;5;22,45;32,71;7,34;
F;23607;PEDRA SANIT PATO CX ACOPLADA PINHO 40G ;5;85,95;32,68;28,09;
T;113537;CR ASSAD POMPOM 40G ;5;49,95;32,63;16,3;
F;103121;CR PENT NIELY GOLD QUER REP 250G ;5;38,95;32,56;12,68;
T;23353;POM MURIEL STHAIR FINALIZAD MAX BARB 40G ;5;49,95;32,53;16,25;
F;24232;PAO MANDIOCA C/LINHACA BELA 300G ;5;59,95;32,47;19,47;
F;106049;ABACAXI ODERICH CALDA 830G ;5;99,95;32,47;32,45;
T;117570;SIDRA CERESER MOR 660ML ;5;119,95;32,43;38,9;
T;23039;GRAXA DE SAPATO COURO BOM PAST MARR 36G ;5;34,95;32,27;11,28;
T;22026;PEDIGREE EQUIL NAT ADULTO RACAS PEQ 3KG ;5;449,98;32,21;144,93;
F;26095;LUVA MUCAMBO FORRADA AMARELA PEQUENA ;5;32,45;32,2;10,45;
F;23614;SHA ELSEVE REP TOTAL 5 400ML ;5;70,95;32,15;22,81;
T;114048;ALICATE+ESP MERHEJE LIL BAS ;5;44,95;32,04;14,4;
T;122699;REPELENTE GEL JOHNSON OFF BABY 117ML ;5;214,95;32,02;68,82;
F;115769;E.V.A LEONORA VERM FGO 40X48 ;5;13,95;32,01;4,46;
F;102578;DESD ROLL REXONA POWD DRY 30ML ;5;34,95;32;11,18;
F;10248;ALCAPARRAS EM CONSERVA CAMPILAR 60G ;5;59,95;31,94;19,15;
F;18601;BATERIA DURACELL LITIO (CR2016);5;68,45;31,82;21,78;
T;118439;LIMP PES VEJA CLORO ATV 20% 1L ;5;79,95;31,76;25,4;
F;24864;FONE DE OUVIDO UNIVERSAL GO!UP ;5;99,95;31,73;31,72;
T;24862;CABO TYPE C GO!UP ;5;99,95;31,73;31,72;
F;21015;ANDIROBA OIL PRONATUS 30ML ;5;39,95;31,73;12,68;
T;20884;COLA TEKBOND 725 INST. 20G ;5;59,95;31,66;18,98;
F;102215;COND SEDA CACH DEF 325ML ;5;69,95;31,65;22,14;
F;24633;XERIFE FILHOTES 7 KG ;5;389,95;31,64;123,39;
T;20181;ASSADEIRA RET EMBALAR MAIS 9,6LTS ;5;64,95;31,63;20,54;
F;15028;DESENTUPIDOR VASO SANIT ;5;58,35;31,59;18,43;
T;12875;CREME CABELO TRIM 65G ;5;84,95;31,55;26,8;
T;24252;SAND IPANEMA CLASSIC BABY AZL/AZL ;5;134,95;31,48;42,48;
F;101039;BISC PIT STOP MISTO QUENTE 105,6G ;5;24,95;31,46;7,85;
F;25637;BISC PIT STOP C/FERM NATURAL 162G;5;24,95;31,46;7,85;
T;113404;VINAGRE MINHOTO ALCO L750MLP500ML ;5;19,95;31,33;6,25;
F;118412;RODO CONDOR RODIX VERM/BCO 20CM ;5;114,95;31,33;36,01;
F;118577;DESD LIQ LEITE COLONIA ORIG 200ML ;5;39,95;31,29;12,5;
T;24385;CONJ POTE POP QD 2 PCS PLASUTIL ;5;94,95;31,25;29,68;
F;13918;CREME CHEESE TRAD DANUBIO 150G ;5;49,95;31,25;15,61;
T;115428;REP PONTAS NIELY GOLD OLEO ARG 42ML ;5;74,95;31,17;23,36;
F;112603;GELATINA DR OETKER CER 20G ;5;9,35;31,12;2,91;
T;24248;SAND RIDER STREET AD AZL/AZL ;5;159,95;31,12;49,77;
F;10016;HONDASHI FLOPPY 60G 1X48UN ;5;64,95;31,1;20,2;
T;25824;CHOCOTTONE BAUDUCCO MAXI GOTAS 500G ;5;159,95;31,07;49,7;
F;22065;ESCOVA DENTAL CONDOR INFANTIL BARBI ;5;84,95;31,03;26,36;
T;25521;RACAO KDENGO TRAD FL SEM CORANTES 3KG ;5;189,95;31,03;58,94;
F;100766;CHA LEAO FUZE ERVA DOCE 20G ;5;17,06;31,02;5,29;
F;102218;COND SEDA LISO PERF 325ML ;5;69,95;31;21,69;
F;13309;COLOR COR&TON 7,66 VERM INTENSO 125G;5;52,45;31;16,26;
F;21602;DETERG INVICTO MACA 500ML ;5;9,95;30,99;3,08;
F;14174;DESINF LYSOFORM AEROSSOL LAVANDA 360ML ;5;119,95;30,98;37,16;
F;25908;CAMARAO MARIS S/CAB COZ 25/90 200G ;5;79,95;30,98;24,77;
T;21720;BALA ICEBREAKERS MINTS 24G ;5;22,45;30,97;6,95;
F;103105;CR PENT PRO CACHOS BABOSA 300ML ;5;62,95;30,96;19,49;
F;23640;SABAO LIQ BRILHANTE HIGIENE TT 900ML ;5;59,95;30,86;18,5;
F;119040;AMOLECEDOR CUTICULAS ALYNE 100G ;5;34,95;30,85;10,78;
F;10323;CAMPI-SAL CAMPILAR 400G ;5;24,95;30,84;7,7;
F;102393;SHA ELSEVE QUERA LISO 200ML ;5;62,95;30,83;19,41;
T;119043;SHA ALYNE CACH DEF 350ML ;5;44,95;30,79;13,84;
F;25752;ESM IMP GLIT PRATA ;5;24,95;30,73;7,67;
F;16508;TERERE BARAO DE COTEGIPE MEN/LIM 500G ;5;49,95;30,72;15,35;
T;107503;DESENG VEJA LIMAO GAT 500ML ;5;69,95;30,71;21,48;
F;24959;BASTAO DE FUMACA JUPITER AZUL ;5;74,95;30,71;23,02;
F;13896;DESD AER DOVE MEN+CARE INVISIBLE 150ML;5;94,85;30,71;29,12;
T;11089;RECIBO TILIBRA C/CANHOTO ALUGUEL 50FLS ;5;9,95;30,69;3,05;
F;25283;AJI-SAL CHURRASCO PARRILHA 500G ;5;114,95;30,66;35,24;
T;24242;SAND CART DAKAR PLUS MAR/MAR ;5;244,95;30,65;75,07;
T;23344;OLEO MURIEL CAP VEGETAL ABACATE 60ML ;5;47,45;30,56;14,5;
T;25042;ESM IMP ACALMA PEROLA TRANQUILEX ;5;24,95;30,55;7,62;
T;107791;TINT MAXTON LOUR CZA 12.11 ;5;48,95;30,54;14,95;
F;109339;CR PENT PRO CACHOS CERAM 300ML ;5;58,95;30,51;17,99;
F;115718;CR PENT PRO CACHOS OLEO ARG 300ML ;5;58,95;30,51;17,99;
F;25797;RACAO ALL DOG FILHOTE CARNE E CEREAIS 3KG ;5;149,95;30,51;45,75;
F;122429;SAND RIDER STREET PTO/VERM ;5;157,95;30,47;48,13;
T;21134;BISC RECH.HOT CRACKER CHURR 150G ;5;29,95;30,44;9,12;
F;24416;GELATINA ROYAL CEREJA 25G ;5;8,95;30,42;2,72;
F;11046;COLA DE SILICONE LIQUIDA. 60ML ;5;16,45;30,38;5;
F;120504;DESD ROLL GIOVANNA BABY LILAC 50ML ;5;34,95;30,33;10,6;
T;10046;COLONIA MURIEL BABY MENINO SUAVE 100ML MURIEL BABY CL 100ML MENINO;5;67,95;30,31;20,59;
F;25089;ESC DENTE GREN ADULTO WAVE MACIA ;5;29,95;30,3;9,08;
F;21961;TESOURA MULTIUSO 8 POL BL JOCAR ;5;39,95;30,28;12,1;
T;25100;ESC DENTE GREEN ADULTO WAVE DUPLA MEDIA ;5;59,95;30,28;18,15;
F;118745;VINAGRE MINHOTO MACA L500P450ML ;5;29,95;30,22;9,05;
F;18750;PURIFIC AR GLADE AERO NOITE FELIZ 360ML ;5;59,95;30,18;18,09;
F;16815;DOGCHOW ADLT MINI PEQ SALMAO 100G ;5;14,95;30,15;4,51;
T;15687;DESINF LYSOFORM LEM INFAN 360ML ;5;108,45;30,14;32,68;
F;24834;MARCADOR P QUADRO BCO TINT PRETO ;5;22,45;30,13;6,76;
F;118272;PURIF AR BOM AR FLOR JASMIM 6EM1 20% 360ML ;5;39,95;30,13;12,04;
T;14170;TOALHA UMED J J BABY PROT DA PELE 96UN ;5;136,95;30,12;41,25;
F;25024;TOALHA ESCOLAR LOVELLE ERVA DOCE ;5;14,95;30,05;4,49;
F;25553;PANO SCOTT DURAMAX ANTIBAC ;5;64,95;30,04;19,51;
F;111992;DESINF LYSOFORM BRUTO 500ML ;5;43,45;30,04;13,05;
F;26018;PRATO DESC 26CM BR COPOBRAS PC10 ;5;49,95;30,03;15;
T;102331;SHA DOVE OLEO NUTR 200ML ;5;59,95;30,03;18;
F;100686;CEREJAS ODERICH CALDA VD 100G ;5;69,95;30,02;21;
T;11184;WHISKY CHIVAS REGAL 12 ANOS 1L ;5;1.172,95;30,02;352,06;
T;12533;ABS SEMPRE LIVRE ADAPT SC C/ABA 32UN ;5;71,45;29,98;21,42;
F;25789;ISOTONICO TNT TANGERINA 500ML ;5;29,95;29,97;8,98;
T;103654;ANIL RECKITT IMPERIAL 44G ;5;89,95;29,96;26,95;
T;116221;CERA LIQ INGLEZA MAXX INC 750ML ;5;82,45;29,96;24,7;
T;119099;RACAO WOLF P/CAO ADULTO 15KG ;5;687,45;29,93;205,73;
T;117471;FIO DENT JOHNSON EXP PLUS 50M ;5;64,95;29,91;19,43;
T;16493;BATATA FRITA CONG LUTOSA 400 G ;5;29,95;29,88;8,95;
F;18345;DESINF PATO LIMP GERMINEX MARINE 500ML ;5;63,95;29,88;19,11;
T;23220;MINGAU DE AVEIA ALLNUTRI 230G ;5;22,45;29,84;6,7;
F;25466;SABAO BARRA YPE FRESH 180G ;5;19,95;29,78;5,94;
T;25462;SABAO BARRA YPE ALOE V. 180G ;5;19,95;29,78;5,94;
T;14145;CORDA VARAL HIPER PLUS EXT FORT 10M ;5;30,65;29,76;9,12;
F;25552;BISC FORTALEZA MARIA 350G ;5;44,95;29,73;13,36;
F;10633;ALCOOL BRILUX PERFUMADO 500ML ;5;34,95;29,73;10,39;
F;23142;EXTRATO DE TOMATE TAMBAU 200G ;5;12,45;29,72;3,7;
F;107201;SAND HAVAIANAS COLOR AZL NAVAL 35/36 ;5;74,95;29,67;22,23;
T;15404;DESINF LYSOFORM BRUTO 1L ;5;57,65;29,66;17,1;
T;10043;COLONIA MURIEL BABY MENINA PERF SUAVE 100ML MURIEL BABY CL 100ML MENINA;5;66,95;29,63;19,84;
F;119383;SHA DOVE RIT REP 200ML ;5;62,95;29,6;18,63;
T;23037;LIMPADOR MULTIUSO CASA&LIMPEZA SQZ 500ML ;5;19,95;29,57;5,9;
T;118590;SAB LIQ JOHNSONS CAB AOS PES 200ML ;5;109,95;29,57;32,51;
F;114526;SHA SALON LINE LOIROMATIZ 300ML ;5;109,95;29,57;32,51;
T;24692;SALG MUCILON TRADICIONAL 35G ;5;19,95;29,33;5,85;
F;25816;BATATA LAYS CLASSICA 45G ;5;34,95;29,18;10,2;
F;25196;BISC BAUDUCCO AMANT LEITE 335G ;5;64,95;29,16;18,94;
T;14837;SORV KIBON TWIX PT 800ML ;5;164,95;29,14;48,07;
T;21893;TOALHA UMD BIGFRAL PC C/40 ;5;124,95;29,13;36,4;
F;110589;IOGURTE TOYA PESS GF 800G ;5;47,45;29,12;13,82;
F;105675;TINTA ACRILEX P/TECIDO LILAS 37ML ;5;19,95;28,99;5,78;
T;23281;PO DESC YAMA PEROLADO 300G ;5;114,95;28,93;33,25;
T;114499;RACAO CONFIANCA P/CAO ADULTO 25KG ;5;1.180,86;28,88;340,98;
T;23349;DESD CREM HERBISSIMO VANILLA 55G ;5;24,95;28,86;7,2;
T;21190;SAB LIQ LUX FLOR DE LOTUS 200ML ;5;36,45;28,81;10,5;
T;123311;FERMENTO PO DONA BENTA 125G ;5;54,95;28,77;15,81;
T;12819;BATATA PALHA NATURAL MARIZA 75G ;5;27,45;28,76;7,9;
T;10398;NOZ MOSCADA EM PO CAMPILAR 5G ;5;7,45;28,74;2,14;
T;21738;CAPSULA CAFE TRES LATTE MACCHIA 8X10X11G ;5;115,95;28,74;33,32;
F;109202;JARDINEIRA ODERICH LT 200G ;5;22,45;28,73;6,45;
F;124176;ERVILHA/CENOURA OLE VD 200G ;5;22,45;28,73;6,45;
T;18990;BANDEJA LAMINADA N∞07 ;5;38,95;28,64;11,15;
T;25808;CHOCOLATE QUALICAU EM PO 50% 200G ;5;34,95;28,61;10;
F;21506;SAB LIQ ESF HIDRAD COCO 180ML ;5;94,95;28,59;27,15;
T;110820;AMAC ROUPA FOFO CONC CHE BEBE 500ML ;5;54,95;28,57;15,7;
T;20640;BOLA PENALTY VOLEI AM/LJ ;5;649,95;28,51;185,3;
T;25103;ESC DENTE GREEN ADULTO SONIC MEDIA ;5;29,95;28,37;8,5;
F;21304;TRIDENT 14 S MELANCIA 25,2G ;5;23,95;28,32;6,78;
T;20554;ESC DENT J&J PROFESSIONAL PEQ MACIA ;5;59,95;28,29;16,96;
F;121755;SAB LIQ TURMA DA XUXINHA SONO TRANQ 210ML ;5;59,95;28,27;16,95;
T;25153;SHA ANJINHO KIDS ROSA 2 EM 1 400ML ;5;54,95;28,16;15,47;
T;17133;SUCO DE UVA INTEGRAL M REALE 1,5L ;5;119,95;28,02;33,61;
F;18896;APTANUTRI PREMIUM 3 800G ;5;366,95;28;102,74;
T;19713;BACON DEFUMADO FATIADO PD 250G ;5;69,95;27,93;19,54;
T;22597;ENROLADO DE SALSICHA UN ;5;24,95;27,88;6,96;
F;110725;AMACIANTE DE CARNE MARIZA 125G ;5;23,95;27,84;6,67;
T;122503;LIMPA VIDRO BRILUX 500ML ;5;89,95;27,79;25;
T;15816;KIBON SORV TORTA DE LIMAO 1.3L ;5;194,95;27,78;54,16;
F;25868;CHOC LACTA SHOT 165G ;5;59,95;27,74;16,63;
T;11365;DESINF YPE BAK FLORAL 500ML ;5;14,95;27,72;4,14;
F;23585;SAB LIQ TOPZ BABY PATR CANINA CAB/PES 200ML ;5;43,95;27,69;12,17;
T;24646;SAPOLIO RADIUM LIMPA ALUMINIO 250ML ;5;42,45;27,68;11,75;
F;23479;SHA PROCACHOS PRINCESINHA 300ML ;5;59,95;27,63;16,57;
F;20261;TIRA MAN VANISH OXI CRYSTAL WHITE 120G ;5;29,35;27,6;8,1;
F;108180;GERGILIM DUBOM ESCURO 30G ;5;16,45;27,53;4,53;
F;107701;CR PENT SEDA CERAM 300ML ;5;59,95;27,52;16,5;
F;23473;DESD GIOVANNA BABY C/2 CHERRY 50ML ;5;59,95;27,47;16,47;
F;102407;DESD CREM TABU 55G ;5;28,45;27,38;7,79;
F;107502;DESENG VEJA LIMAO GOLD C/GAT 500ML ;5;66,95;27,36;18,31;
F;117385;NOZ DUBOM MOSCADA 15G ;5;34,95;27,2;9,51;
F;13885;BOIA REDONDA HOMEM-ARANHA;5;99,45;27,18;27,03;
F;25547;DESOD REXONA CLINICAL CLEAN AERO 91G ;5;85,95;27,12;23,31;
F;23574;OLEO CORP/CAP AVVIO ROSA MOSQUETA 100ML ;5;27,45;26,96;7,4;
F;18778;PRESERV RILEX MENTA 12X3UN ;5;9,95;26,93;2,68;
F;25063;ABS INTIMUS T PROT SUAVE C/ABAS 32UN ;5;84,95;26,92;22,87;
F;25101;ESC DENTE GREEN INFANTIL OVER THE MOOM ;5;34,95;26,92;9,41;
T;112900;ESC DENTAL COLGATE MEDIA TWISTER L2P1 ;5;94,95;26,8;25,45;
T;108660;CAFE SOLUVEL SANTA CLARA C/LEITE 330G ;5;105,95;26,7;28,29;
T;11579;ABRIDOR DE GARRAFA 17790 ;5;8,45;26,61;2,25;
T;121488;OVOMALTINE CREME CROC VD 260G ;5;129,95;26,47;34,39;
F;22882;BISC TORTUG RECH CHOCOLATE 120G ;5;14,95;26,45;3,96;
F;16504;MISTURA RUSSA CONG BUONOGEL 1KG ;5;64,57;26,44;17,07;
F;15217;REFR MID GUARANA 20G ;5;4,95;26,4;1,31;
F;23372;ENX BUCAL DENTRAT EXT FORTE 350ML ;5;54,95;26,39;14,5;
F;23371;ENX BUC DENTRAT MENTA 500ML ;5;54,95;26,39;14,5;
T;114041;TORRADA LIGHT MARILAN MAGIC TO 150G ;5;29,95;26,38;7,9;
F;108295;BALOES GRAN FESTA SORT TAM 6.5 ;5;54,95;26,31;14,46;
T;117981;PATE GOMES DA COSTA ATUM PIC 150G ;5;44,95;26,24;11,79;
F;24678;AZEITONAS VERDES RECH HEMMER SC 140G ;5;34,95;26,23;9,17;
T;101073;BISC RECH RICHESTER AMORI FLOR NEGRA 140G ;5;17,45;26,16;4,56;
T;15030;RACAO PEDIGREE WHISKAS LT PEIXE 290GR ;5;32,45;26,15;8,49;
T;119887;DESD AER FRANCIS HYDRATTA RSA CHA 150ML ;5;64,95;26,1;16,95;
F;108366;CREMOGEMA MORANGO 180G ;5;26,95;26,09;7,03;
F;101067;BISC RECH PARATI HOT CRACKER QUEIJO 150G ;5;34,95;26,06;9,11;
F;25086;ODORIZANTE SPRAY TOQUE DE CARINHO120ML ;5;69,95;26,01;18,2;
F;11222;ATUM COQUEIRO RALADO NAT 170G ;5;38,82;25,88;10,05;
T;121556;SACA ROLHA TRAMONTINA C/ABRID ;5;204,95;25,87;53,03;
T;23207;CONSERVA CORTAR BORDON BACON 320G ;5;44,95;25,87;11,63;
F;25127;ROSQUINHA C/CALDA CHOCOL GIRASOL 300G ;5;34,95;25,84;9,03;
F;10657;BISC PIT STOP CEBOLA SALSA 80GR ;5;14,95;25,75;3,85;
F;25347;SAB GESSY SENS RADIANTE C/FRUTA 80G ;5;14,95;25,62;3,83;
T;23325;LIXA P/ PE MADEIRA RASKALO CARICIA ;5;29,95;25,54;7,65;
T;106989;AMAC ROUPA YPE INTENS 2L ;5;59,95;25,54;15,31;
T;102270;SHA TURMA DA XUXINHA CAB CACH 120ML ;5;44,95;25,47;11,45;
T;105762;BALOES SAO ROQUE VERM SHOCK TAM 9 ;5;114,95;25,42;29,22;
T;20672;ABS ATIV CLASS SVE C/AB C/32UN ;5;59,95;25,38;15,22;
T;20929;MINGAU MUCILON BL AMEIXA E AVEIA 180G ;5;32,45;25,19;8,18;
F;14081;CARNE BOV EM CONSERVA PALATARE 320G ;5;51,95;25,16;13,07;
T;25146;GRANOLA BANANA C/MEL DAMAGRINHA 250G ;5;59,95;25,13;15,06;
F;23430;SAB LIQ DOVE NUTRICA PROF REF 200ML ;5;43,95;25,03;11;
T;119793;RACAO WOLF P/CAO ADULTO 25KG ;5;1.055,87;25,02;264,19;
F;14422;QJ MUSS SAND POLENGHI 144G ;5;69,95;25,01;17,5;
F;116222;ACHOC 3 CORACOES SCH 300G ;5;29,95;24,96;7,48;
F;21819;ABS INTIMUS INTERN MINI C8 ;5;40,95;24,96;10,22;
F;113831;CHA LEAO FUZE HORTELA 10G ;5;16,45;24,92;4,1;
F;100770;CHA LEAO FUZE BOLDO DO CHILE 10G ;5;16,05;24,9;4;
F;107545;SHA TRA LA LA SEM EMBARAC 480ML ;5;72,95;24,87;18,14;
T;21890;FRALDA SAPEKA MEGA G ;5;199,95;24,68;49,35;
F;20912;ACUCAR UNIAO PREMIUM 1KG ;5;33,95;24,59;8,35;
T;100700;CAFE SOLUVEL 3 CORACOES VD 200G ;5;133,95;24,59;32,94;
T;16630;ACUCAR DEMERARA KODILAR 500G ;5;49,95;23,92;11,95;
F;23228;ESCOVA SANITARIA C/POTE BRUBALAR ;5;39,95;23,92;9,55;
F;25434;CHANDELLE CHOC C/ CALDA MRG C/2UN ;5;37,45;23,87;8,94;
F;24153;CR DENTAL MENTA EXTRA FORTE 90G ;5;24,95;23,85;5,95;
F;100189;SELETA LEGUMES OLE VD 200G ;5;22,45;23,83;5,35;
T;19157;MITTO SUCO DE UVA 1000ML ;5;104,95;23,82;25;
F;15594;ESC DENT HELLO KITTY MACIA UN ;5;47,95;23,77;11,4;
T;25144;ACUCAR MASCAVO DAMAGRINHA 400G ;5;39,95;23,74;9,48;
F;25459;BISC LOOK WAFER BRIGADEIRO 55G ;5;17,45;23,57;4,11;
F;20090;TINT MAXTON PRAT 1.2 PRETO AMETISTA ;5;51,95;23,37;12,14;
T;122032;PATE COQUEIRO ATUM AZEIT VDE SCH 170G ;5;42,95;23,24;9,98;
T;13645;SACO P/ PIPOCA EMBALADO (HISE) C/100UN ;5;23,25;23,15;5,38;
F;15291;BISC CREAM CRACKER ESTRELA 350G ;5;24,95;22,85;5,7;
F;14097;COND ELSEVE ANTI CASPA DETOX 200ML ;5;64,95;22,8;14,81;
T;19267;DEO ROLLON MONANGE HIDRATACAO SENSI 60ML ;5;32,45;22,5;7,3;
F;12982;VODKA INTENCION DOUBLE BLACK 900ML ;5;244,95;22,32;54,68;
F;15340;MOLHO BARBECUE HEINZ 538GR ;5;99,95;22,06;22,05;
F;16019;REFR FIT LIGHT LARANJA 10G ;5;5,25;21,94;1,15;
F;123312;ATUM COQUEIRO PED NAT 170G ;5;44,95;21,56;9,69;
F;10434;PAST.SANIT.HIPER PLUS DO CAMPO 30G ;5;17,45;21,32;3,72;
F;21290;ENX BUC DENTRAT WHITE 250ML ;5;44,95;21,32;9,58;
