INC;Código;Descrição;Quantidade;Valor Total LÌquido;% Lucratividade;Lucro;
T;19102;MAC INST MARATA GAL CAIPIRA ;230;182,2;-33,86;-61,7;
F;123580;COPO DESC CRISTALCOPO TRANSP 250ML ;229,5;1.948,46;48,1;937,23;
F;101824;OVO DE CODORNA SAO PEDRO C/30 ;229;2.009,71;37,36;750,74;
F;110422;MAC HILEIA PARAF SEMO 200G ;228;759,45;13,52;102,69;
F;100566;CHICLETES TRIDENT CANELA 8G ;227;451,73;28,4;128,31;
F;19833;HAMBURGUER CARNE DE AV/BOV SD 56G ;226;449,74;37,33;167,89;
F;107353;BISC RECH HILEIA KICKS MOR 60G ;226;395,84;28,16;111,45;
T;21643;SCHWEPPES GIN TONICA LT 310ML ;225;522,15;46,03;240,34;
T;110091;IOGURTE TOYA MOR BDJ 540G ;225;1.288,75;26,87;346,25;
F;107305;BISC CLUBE SOCIAL PIZZA 141G ;225;1.263,25;26,23;331,32;
F;120478;BOLO DE LEITE KG ;224,74;5.038,63;48,89;2.463,22;
F;107067;QUEIJO COALHO REGIONAL KG ;224,27;12.296,95;33,97;4.177,72;
F;109335;RACAO PEDIGREE P/CAO ADULTO CORD RAC PEQ 100G ;224;681,96;30,68;209,23;
T;124315;MAC SELMI GALO ESP SEMO 500G;224;1.223,28;23,18;283,58;
F;101618;SUCO PRONTO VIGOR UVA 200ML ;224;512,96;21,83;112;
F;107044;SUCO PRONTO DEL VALLE UVA PET 600ML ;223;666,77;22,19;147,97;
T;22466;ESP SB UNIT NOV UN ;222;397,38;28,58;113,57;
F;20366;MR. DIN  ACAI C/ TAPIOCA ;221;870,29;32,3;281,08;
F;101165;BISC RECH BAUDUCCO CHOC 104G ;221;935,79;19,7;184,36;
F;103728;AGUA SANIT HIPER PLUS 1L ;221;616,59;18,95;116,81;
F;101772;LAGARTO KG ;219,16;8.579,05;21,85;1.874,81;
F;14978;DORI REGALIZ GIRAFA MORANGO 30GR ;219;594,31;35,12;208,72;
F;101244;IOGURTE TOYA BICAMADAS 130G ;219;651,91;25,48;166,09;
